nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean
NÃO IDENTIFICADO 16918,16918,19,0,1,0,0,0,10,0,1211,1.7100633356790993,0,0,0,1.8005308063429772,0,0,0.050761421319796954
NÃO IDENTIFICADO 1779,1779,1,0,0,0,0,0,1,0,30,3.3333333333333335,0,0,0,3.3333333333333335,0,0,0
NÃO IDENTIFICADO 19461,19461,5,0,0,0,0,0,2,0,303,1.6862929816297691,0,0,0,1.6862929816297691,0,0,0
NÃO IDENTIFICADO 196153,196153,5,0,0,0,0,0,2,0,390,1.2694687433326224,0,0,0,1.2694687433326224,0,0,0
NÃO IDENTIFICADO 19823,19823,6,0,0,0,0,0,2,0,359,1.6300251256281406,0,0,0,1.6300251256281406,0,0,0
NÃO IDENTIFICADO 1988,1988,2,0,0,0,0,0,1,0,58,3.4482758620689653,0,0,0,3.4482758620689653,0,0,0
NÃO IDENTIFICADO 20839,20839,3,0,0,0,0,0,1,0,175,1.7142857142857144,0,0,0,1.7142857142857144,0,0,0
NÃO IDENTIFICADO 2100,2100,4,0,0,0,0,0,2,0,146,2.73972602739726,0,0,0,2.73972602739726,0,0,0
NÃO IDENTIFICADO 2186,2186,18,0,1,0,0,0,8,0,1136,1.8443239987955433,0,0,0,3.105692646587208,0,0,0.07530120481927711
NÃO IDENTIFICADO 22002,22002,1,0,0,0,0,0,1,0,179,0.5586592178770949,0,0,0,0.5586592178770949,0,0,0
NÃO IDENTIFICADO 23060,23060,9,0,0,0,0,0,5,0,551,1.8181818181818181,0,0,0,2.097300456455386,0,0,0
NÃO IDENTIFICADO 23078,23078,9,0,0,0,0,0,5,0,449,2.0408163265306123,0,0,0,2.263103928109816,0,0,0
NÃO IDENTIFICADO 25062,25062,52,0,3,1,1,1,27,2,3094,1.5384615384615385,0,0,0,2.1344053770660127,0,0.045167118337850046,0.0908039232339142
NÃO IDENTIFICADO 25070,25070,45,0,5,0,0,2,23,0,2741,1.574803149606299,0,0,0,2.0105455061411206,0,0.22883295194508008,0.173414378521658
NÃO IDENTIFICADO 25097,25097,52,0,2,0,0,0,31,0,2943,1.8518518518518516,0,0,0,2.1988764058700614,0,0,0.07463630613535738
NÃO IDENTIFICADO 25595,25595,2,0,0,0,0,0,1,0,144,1.3888888888888888,0,0,0,1.3888888888888888,0,0,0
NÃO IDENTIFICADO 26182,26182,3,0,0,0,0,0,3,0,140,1.8518518518518516,0,0,0,2.298613373882191,0,0,0
NÃO IDENTIFICADO 26212,26212,6,0,0,0,0,0,5,0,271,1.8181818181818181,0,0,0,2.448476534046558,0,0,0
NÃO IDENTIFICADO 26328,26328,2,0,0,0,0,0,2,0,200,1.6244314489928524,0,0,0,1.6244314489928524,0,0,0
