objectid,numero,ponteid,observacao,sequencial,compriment,nomeusual,distritoid,setorid,tipolograd,redeaguasp,tipopavime,estadocons,meiofio,separacaov,sentidovia,calcadaimp,calcadapar,sinalizaca,dispositiv,sinaliza_1,sinaliza_2,ponte,redeagua,redetelefo,redeesgoto,redeilumin,redeenergi,areasverde,arvore,lixeirapub,telefonepu,bancos,hidrantes,caixacorre,bancajorna,pontoonibu,pontotaxi,pontomotot,placapubli,placatrans,semaforo,faixapedes,poste,formulario,pesquisado,eglid,logradouro,coletalixo,trechoviai,trechovi_1,nomelograd
9323,0,0,,10779,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206884,9,12301,700487,,12301,12301,"RUA SEM DENOMINAÇÃO 
299
1"
9324,0,0,,10786,0,,14,14,1,4,2,2,2,5,2,3,2,4,4,4,4,6,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206891,9,12308,35580,,12308,12308,RUA SEVERINO VALERIANO DE OLIVEIRA
9325,0,0,,10788,0,,14,14,1,2,2,2,2,5,2,1,2,4,4,4,4,6,2,1,2,1,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,207197,14,12310,33650,,12310,12310,RUA CARMELITA SILVA ARAÚJO
9326,0,0,,10791,0,,14,14,1,3,2,1,2,5,2,1,4,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206894,15,12313,35629,,12313,12313,RUA PROFESSOR EDNALDO RANGEL DE PAIVA
9327,0,0,,10792,0,,14,14,1,3,5,3,4,5,2,3,4,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206895,13,12314,35629,,12314,12314,RUA PROFESSOR EDNALDO RANGEL DE PAIVA
9328,0,0,,441,0,,2,2,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,200491,9,465,15940,,465,465,NÃO IDENTIFICADO 15940
9329,0,0,,10793,0,,14,14,1,2,2,1,2,5,2,2,1,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,206896,15,12315,29343,,12315,12315,RUA VALTER BENVENUTO DA SILVA
9330,0,0,,10794,0,,14,14,1,3,5,3,4,5,2,4,4,4,4,4,4,6,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,206897,15,12316,35637,,12316,12316,RUA PROJETADA XI
9331,0,0,,10796,0,,14,14,1,3,5,2,4,5,2,4,4,4,4,4,4,6,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,206899,15,12318,32034,,12318,12318,RUA MARCOS ANTÔNIO AGRA RAMOS
9332,0,0,,10799,0,,14,14,1,3,6,4,4,5,1,4,4,4,4,4,4,6,3,3,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,206901,9,12322,29114,,12322,12322,NÃO IDENTIFICADO 29114
9333,0,0,,10803,0,,14,14,1,3,2,2,2,5,2,2,2,4,4,4,4,6,3,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206905,9,12326,29076,,12326,12326,RUA PORTO ALEGRE
9334,0,0,,10805,0,,14,14,1,4,2,1,2,5,1,3,3,4,4,4,4,6,3,3,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,206907,9,12328,29068,,12328,12328,RUA NATAL
9335,0,0,,10806,0,,14,14,1,4,2,2,2,5,2,2,2,4,4,4,4,6,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206908,9,12329,32000,,12329,12329,RUA JOSÉ NOGUEIRA PEREIRA
9336,0,0,,10807,0,,14,14,1,4,2,2,2,5,2,2,2,4,4,4,4,6,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206909,9,12330,32018,,12330,12330,RUA EUTIQUE LOUREIRO
9337,0,0,,10808,0,,14,14,1,2,2,1,2,5,2,4,2,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206910,15,12331,29300,,12331,12331,RUA AUGUSTO CÉSAR SANDINO
9338,0,0,,6260,0,,9,9,1,3,6,4,4,5,1,4,4,4,4,4,4,6,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,210990,10,6998,700404,,6998,6998,"RUA SEM DENOMINAÇÃO 
227
2"
9339,0,0,,10809,0,,14,14,1,2,2,1,2,5,2,1,4,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206911,15,12332,29319,,12332,12332,RUA MARIA NECI BARBOSA DA SILVA
9340,0,0,,10810,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206912,9,12333,29068,,12333,12333,RUA NATAL
9341,0,0,,10811,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206913,9,12334,28991,,12334,12334,RUA VITÓRIA
9342,0,0,,10812,0,,14,14,1,2,2,2,2,5,2,3,2,4,4,4,4,6,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206914,15,12335,29017,,12335,12335,RUA MACAPÁ
9343,0,0,,10813,0,,14,14,1,3,2,1,2,5,2,1,1,4,4,4,4,6,3,1,3,1,1,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,3,206915,15,12336,29378,,12336,12336,RUA JOÃO FLORÊNCIO SOBRINHO
9344,0,0,,10815,0,,14,14,1,3,2,2,2,5,2,2,2,4,4,4,4,6,3,1,3,1,1,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,2,207199,15,12338,29343,,12338,12338,RUA VALTER BENVENUTO DA SILVA
9345,0,0,,10821,0,,14,14,1,2,2,2,2,5,2,2,2,4,4,4,4,6,3,1,3,1,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,207202,15,12344,36935,,12344,12344,RUA GENÉSIO SOARES DE CARVALHO
9346,0,0,,10825,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206923,9,12348,29084,,12348,12348,AVENIDA BELO HORIZONTE
9347,0,0,,10832,0,,14,14,1,3,6,4,2,5,1,3,2,4,4,4,4,6,3,3,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206930,9,12355,29114,,12355,12355,NÃO IDENTIFICADO 29114
9348,0,0,,10833,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206931,9,12356,29106,,12356,12356,RUA LONDRINA
9349,0,0,,10835,0,,14,14,1,3,6,4,4,5,2,4,4,4,4,4,4,6,3,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,206933,9,12358,29084,,12358,12358,AVENIDA BELO HORIZONTE
9350,0,0,,10841,0,,14,14,1,3,5,3,4,5,2,4,4,4,4,4,4,6,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,206940,15,12365,29130,,12365,12365,RUA BELÉM
9351,0,0,,10851,0,,9,9,2,3,1,1,2,1,2,1,4,4,4,4,4,6,3,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,209645,15,12375,28789,,12375,12375,AVENIDA FRANCISCO LOPES DE ALMEIDA
